part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
_NONCE_PAD,UserDefined,30,,,,1.00;1.00;1.00,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
Q1,RBS,,,,,0.40;0.74;0.27,,,,,
L3S2P55,Terminator,,,,,0.23;0.66;0.88,,,,,
P3,RBS,,,,,0.98;0.64;0.15,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
ECK120010818,Terminator,,,,,0.40;0.74;0.27,,,,,
RiboJ60,Ribozyme,,,,,0.40;0.74;0.27,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
A1,RBS,,,,,0.23;0.66;0.88,,,,,
pTac,Promoter,,,,,0.0;0.0;0.0,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
pAmtR,Promoter,,,,,0.23;0.66;0.88,,,,,
AmtR,CDS,,,,,0.23;0.66;0.88,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
pLuxStar,Promoter,,,,,0.0;0.0;0.0,,,,,
QacR,CDS,,,,,0.40;0.74;0.27,,,,,
BydvJ,Ribozyme,,,,,0.23;0.66;0.88,,,,,
pQacR,Promoter,,,,,0.40;0.74;0.27,,,,,
